文献	35
文献号	23
原文	23
出处	25
上海	6
文化	562
原	107
刊	65
期	38
号	48
页	95
分类	51
分类号	23
名	29
文艺	211
理论	183
文艺理论	17
作者	129
立元	1
朱立元	1
复印	27
期号	23
标题	23
中西	19
古代	118
艺术	2112
类型	57
差异	41
探源	1
传统	113
审美	142
比较	75
研究	367
正文	24
源流	4
角度	40
中国	242
西方	144
进行	86
学术	36
学术界	5
已经	63
引起	21
越来	24
越来越	24
注意	47
本文	16
认为	110
巨大	25
简要	4
概括	27
主体	82
抒情	43
型	12
客观	62
再现	30
追溯	6
思想	134
根源	11
天人	30
合一	32
天人合一	27
主客	20
二分	14
两种	29
对立	23
模式	47
传统模式	2
说明	61
雕刻	33
史诗	58
两类	4
客观性	7
上达	2
上达于	2
成熟	27
取得	11
辉煌	5
成就	30
辉煌成就	3
则在	1
原则	56
音乐	147
诗歌	31
主观	24
主观性	4
较繁	3
繁荣	36
比较繁荣	3
发达	40
文学	482
学艺	40
文学艺术	40
方面	208
种种	25
国内	4
内外	5
国内外	1
已有	15
不少	26
著述	8
论及	6
宏观	14
探讨	24
微观	5
考察	13
迄今	5
迄今为止	3
关中	1
西	5
似少	1
有人	21
涉及	16
问题	193
实际	86
实际上	39
关涉	6
包括	50
整体	41
值得	31
探	2
讨	2
拟谈	1
初步	7
想法	2
抛砖	1
抛砖引玉	1
这方	9
这方面	9
研讨	2
引向	9
深入	29
叙事	58
叙事诗	6
早熟	7
情诗	15
抒情诗	14
周知	6
众所周知	5
希腊	78
古希腊	40
发源	1
源地	1
发源地	1
最能	1
代表	50
永远	5
难以	27
企及	7
水准	6
无疑	36
极其	11
普及	16
现在	17
看到	27
公元	13
公元前	9
六世	6
世纪	100
六世纪	5
青年	11
男青年	1
雕像	12
五	15
米	5
隆的	1
铁饼	1
掷铁饼	1
波利	2
波利克	1
列	8
托斯	1
荷矛的人	1
伊	4
列克	1
提翁	1
神庙	2
柱廊	1
女	20
系列	35
克	10
多斯	1
尼多斯	1
岛	2
维纳	2
维纳斯	2
栩栩	2
栩栩如生	2
鲜明	35
个性	81
达到	36
极	14
高	52
黑格	22
黑格尔	21
所说	37
雕塑	22
具有	132
很大	12
公众	19
性	162
成为	114
人民	59
生活	177
一部	41
部分	61
一部分	21
随便	3
一个	289
城邦	2
里	68
成千	2
上万	2
千上万	2
成千上万	2
成林	1
样	5
厄	1
里斯	8
雅典	2
柯林	1
柯林斯	1
不足	17
不足道	3
微不足道	3
海岛	1
数不清	1
作品	379
高度	23
赞扬	6
高度赞扬	3
美	28
自由	49
生动	26
最高	38
高峰	9
最高峰	2
术家	209
艺术家	207
灵魂	13
灌注	3
石头	6
柔润	1
起来	54
活	6
完全	35
渗透	14
自然	211
物质	28
材料	18
服从	4
驾驭	3
和谐	28
与此	14
相关	51
与此相关	1
产生	95
早	17
马克	51
马克思	51
政治	109
经济	73
济学	14
经济学	14
政治经济学	2
批判	33
导言	4
中	778
荷马	20
伊利	3
利亚	4
亚特	6
伊利亚	3
伊利亚特	3
童年	8
年时	6
时代	124
童年时代	3
发展	215
完美	28
地方	16
永不	1
复返	1
阶段	48
显示	30
出	118
永久	1
魅力	19
仍然	36
能够	39
享受	5
艺术享受	1
说	224
一种	361
规范	34
不可	70
范本	4
明确	45
指出	55
明确指出	5
形式	145
那种	48
在世	3
世界	157
在世界上	1
划时代	1
古典	55
创造	210
是从	8
类型学	1
指明	1
达	18
完满	4
样式	32
典范	10
荷马史诗	15
奥德	1
德赛	1
奥德赛	1
推测	5
之间	102
也许	15
几个	14
民间	38
集体	21
创作	293
集体创作	1
成果	17
最后	19
加工	11
整理	8
而成	6
古老	7
成功	23
事体	1
叙事体	1
长诗	1
全世界	9
最早	14
显著	8
特点	67
对外	13
描绘	22
叙述	11
真实	36
精确	9
细腻	3
丰富	83
给予	15
荷	4
马用	1
优美	8
丰富多采	3
人物	139
物性	16
性格	87
人物性格	10
这种	245
英雄	28
情况	46
绘出	1
描绘出	1
描绘出来	1
事物	43
如对	1
王笏	1
手杖	1
床	2
武器	9
衣服	1
日常	17
细节	4
极为	20
细致	14
应	43
看作	17
枯燥	2
附加	3
诗	133
装饰	15
符合	18
所写	4
精神	281
巧妙	1
阿喀琉斯	2
盾牌	2
整个	44
大地	1
人类	170
婚礼	1
法庭	1
审判	1
耕种	1
牛	8
羊群	1
城市	2
内战	1
高明	6
手腕	1
作出	20
令人	38
惊赞	1
描写	63
揭示	27
本质	44
指	54
任务	17
事迹	4
完整	20
本来	9
形状	6
描述	38
客观事物	2
事态	1
自生	1
自发	2
诗人	26
退到	1
后台	1
不同	144
先秦	19
时期	67
却是	12
上古	4
古时	2
上古时代	2
中华	14
重要	122
原始	208
古籍	2
记载	9
道	85
昔古	1
朱襄氏	2
之治	1
天下	34
多风	1
阴气	2
蓄积	1
万物	32
散解	1
果实	3
成	38
故士	1
王弦瑟	1
以定	1
群生	1
昔	7
葛天氏	3
之乐	6
三人操	2
牛尾	2
投	2
足以	11
歌八阙	2
一曰	1
载	8
民	3
二	43
曰	22
玄	3
鸟	10
三	44
遂	4
草木	2
四	21
奋	3
五谷	3
敬	7
天	38
常	6
六曰	1
建	3
帝	2
功	10
七	11
德	10
八	9
总	10
禽兽	3
之极	1
陶唐氏	2
之始	1
阴多滞	1
伏而湛积	1
水道	1
壅塞	1
不行	2
其原	1
民气	1
郁	2
阏	1
滞著	1
筋骨	1
瑟缩	1
不达	1
舞以	1
宣导	1
社会	360
原始社会	16
末期	1
氏族	14
部落	18
含	1
歌	5
舞	8
为重	4
极为重要	2
组成	20
组成部分	14
生产	82
劳动	21
宗教	53
巫术	23
活动	72
可分	4
密不可分	1
殷周	1
并同	2
各个方面	3
发生	48
广泛	23
联系	74
乐器	6
发明	9
使用	13
现存	7
甲骨	1
金文	1
保留	5
名字	1
春秋	12
战国	6
春秋战国	4
更	174
加	43
史书	10
很多	5
晋	2
缺	6
赵宣子	1
复	12
书	75
戒	1
之用	2
休	2
董	2
威	6
劝之以	1
九歌	3
勿	2
坏	1
九	4
徒	2
皆	29
谓之	4
歌唱	7
颂九功	1
之德	3
公子	2
吴公子	1
季札	3
观乐	2
故事	32
地位	51
